SIMPLE,BITPIX,NAXIS,EXTEND,TEFF,LOGG,RADIUS,MASS,LSTAR,ALPHA,K,DELTA,QBAR,ZHE,HE,SI,MDOT,VINF,DMOM,LOGQ,HOPF_1,HOPF_2,HOPF_3,VROT,OMEGA,VESC,SIGMA_E,MUE,GAMMA,C_SOUND,U_CRIT,R_CRIT,W_CRIT,V_CRIT,DW_CRIT,RHO_CRIT,Z_CRIT,Y_CRIT,V_EIGEN,RHO_WIND,VMICRO,MDOTE-6,LOGMDOT,LOGLSTAR
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.3,90.29,2.0,0.1,7.36,4.1893322e-07,402.13431,3749000000000000039644561408.000000,-11.93,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07336,13.63,17.95,362.2,19.83,0.04004,0.9052,355.9,110.7,6.701,10.0,0.41893322,-6.377855200176721,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.3,90.29,2.0,0.1,7.36,4.1893322e-07,402.13431,3749000000000000039644561408.000000,-11.93,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07336,13.63,17.95,362.2,19.83,0.04004,0.9052,355.9,110.7,6.701,15.0,0.41893322,-6.377855200176721,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.3,90.29,2.0,0.1,7.36,4.1893322e-07,402.13431,3749000000000000039644561408.000000,-11.93,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07336,13.63,17.95,362.2,19.83,0.04004,0.9052,355.9,110.7,6.701,20.0,0.41893322,-6.377855200176721,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.3,0.3,90.29,2.0,0.1,7.36,4.1893322e-07,402.13431,3749000000000000039644561408.000000,-11.93,0.75,0.38,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07336,13.63,17.95,362.2,19.83,0.04004,0.9052,355.9,110.7,6.701,25.0,0.41893322,-6.377855200176721,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,1.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,5.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,10.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,15.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,20.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.1,0.3,12.25,2.0,0.1,7.51,2.882575e-10,394.59689,2530999999999999867879424.000000,-15.08,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07236,13.82,17.56,354.4,20.45,2.7e-05,0.8586,359.1,110.0,0.004699,25.0,0.00028825750000000005,-9.540219384237114,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,1.0,0.021953389,-7.658498427112578,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,5.0,0.021953389,-7.658498427112578,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,10.0,0.021953389,-7.658498427112578,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,15.0,0.021953389,-7.658498427112578,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,20.0,0.021953389,-7.658498427112578,5.055378331375
True,8,0,True,30000.0,3.45,12.4688,15.99,113600.0,0.45,0.2,0.32,43.2,2.0,0.1,7.51,2.1953389e-08,387.62493,189399999999999984044867584.000000,-13.18,1.0,0.42,3.4,0.0,0.0,631.2,0.3413,0.6087,0.1855,20.18,-0.07037,14.21,17.24,347.8,20.7,0.00201,0.8327,356.8,114.2,0.3643,25.0,0.021953389,-7.658498427112578,5.055378331375
